,Location,Date,Time,2H,18O,17O
1455,WET Up,11/16/24,1:39:00 PM,-49.252185,-7.090593,-4.049619
1456,Wet Center,11/16/24,1:43:00 PM,-52.380431,-7.147317,-4.017121
1457,WET Down,11/16/24,1:45:00 PM,-52.282516,-7.105255,-3.591242
1458,Fieldstone,11/16/24,1:55:00 PM,-51.958736,-7.075425,-3.515459
1459,TBD Down,11/16/24,2:02:00 PM,-50.612693,-6.804685,-3.409002
1460,TBD Up,11/16/24,2:03:00 PM,-50.853399,-6.745258,-3.412228
1473,TBD Down,11/16/24,11:26:00 AM,-45.145453,-7.694097,-3.944444
1896,UMass Farm,6/23/25,9:28:00 AM,-48.483509,-7.669363,-4.041665
1897,Mill River Trail Bridge,6/23/25,9:41:00 AM,-50.851827,-8.103839,-4.299766
1898,Puffer's waterfall,6/23/25,9:47:00 AM,-50.672083,-8.103564,-4.283955
1899,Puffers Beach,6/23/25,9:56:00 AM,-52.195297,-8.205754,-4.22066
1900,Puffers - Cushman brook bridge,6/23/25,10:07:00 AM,-51.88511,-8.192456,-4.211514
1901,Puffers - Cushman brook rail road,6/23/25,10:11:00 AM,-51.676565,-8.210474,-4.305642
1902,Atkins reservoir ,6/23/25,10:24:00 AM,-48.503845,-7.282467,-3.850221
1903,Roaring,6/23/25,10:35:00 AM,-52.560449,-8.487197,-4.440996
1904,Broad hill Rd,6/23/25,10:43:00 AM,-53.328858,-8.515188,-4.546874
1905,Montague Rd - Roaring,6/23/25,10:55:00 AM,-49.098783,-7.890014,-4.159204
1906,Leverett Public Library,6/23/25,11:13:00 AM,-52.790706,-8.441717,-4.392899
1907,Rattlesnake Gutter,6/23/25,11:23:00 AM,-51.169542,-8.089763,-4.227242
1908,Haskins Meadow,6/23/25,11:37:00 AM,-51.152686,-8.238485,-4.337425
1909,Haskins Meadown upstream,6/23/25,11:46:00 AM,-51.219167,-8.245846,-4.3541
1910,Lake warner Stockbridge trail,6/23/25,12:14:00 PM,-43.382808,-7.129158,-3.696238
1911,Tan Brook down,6/24/25,11:09:00 AM,-43.743165,-6.930478,-3.53274
1912,Wet Center,6/24/25,11:26:00 AM,-50.125346,-8.098072,-4.088395
1913,Wet Center Down,6/24/25,11:32:00 AM,-50.19048,-8.093085,-4.110592
1914,Wet Center Up,6/24/25,11:39:00 AM,-50.635377,-7.831454,-4.763323
1915,USFWS visitors lot,6/24/25,12:05:00 PM,-32.839961,-4.848194,-3.288047
1916,Prindle school,6/24/25,12:12:00 PM,-42.746806,-6.405193,-3.955564
1917,UMass Stadium,6/24/25,12:23:00 PM,-39.567175,-5.931559,-3.730925
1918,Umass Track,6/24/25,12:33:00 PM,-32.894961,-4.524068,-2.955321
1919,Fieldstone,6/24/25,12:40:00 PM,-50.501266,-7.87111,-4.401881
1920,Fieldstone Up,6/24/25,12:42:00 PM,-49.855275,-7.836294,-4.382164
1921,Wildwood Cemetery,6/24/25,12:54:00 PM,-45.472762,-6.695996,-3.639735
1922,Leverett Pond Boat Launch,6/24/25,1:10:00 PM,-38.2197,-5.104977,-2.881444
1923,MR Rec Area - grill,6/24/25,1:34:00 PM,-51.070837,-8.186086,-4.178572
1924,MR Rec Area - tennis courts,6/24/25,1:35:00 PM,-51.203159,-8.244536,-4.05856
2217,Mill Site,10/11/25,2:13 PM,-48.295492,-7.789489,-3.711239
2194,Wet Center,10/11/25,8:53 AM,-48.98789,-7.505433,-3.611322
2195,Wet Center UP,10/11/25,9:00 AM,-49.104282,-7.552497,-3.61431
2196,Tan Brook Down,10/11/25,9:14 AM,-48.450591,-7.411673,-3.470583
2197,UMass Farm,10/11/25,9:24 AM,-42.906286,-6.887015,-3.150037
2198,MR Rec Area - Picnic tables,10/11/25,9:55 AM,-48.910681,-7.794977,-3.662333
2199,MR Rec Area - Baseball Field,10/11/25,9:58 AM,-48.841115,-7.822853,-3.72763
2200,MR Rec - Julius Lester Bridge,10/11/25,10:03 AM,-48.348432,-7.797851,-3.702519
2201,Lower MR Trail Bridge,10/11/25,10:12 AM,-48.071725,-7.831709,-3.706363
2202,Puffers Waterfall,10/11/25,10:38 AM,-48.366421,-7.958838,-3.760248
2203,Puffers Beach,10/11/25,10:46 AM,-50.252468,-8.253205,-3.975413
2204,Upper Puffers - Bridge,10/11/25,10:54 AM,-50.51806,-8.255784,-3.967923
2205,Upper Puffers - Railroad,10/11/25,10:59 AM,-50.455181,-8.266131,-3.952553
2206,Haskin Meadows -fishing spot,10/11/25,11:57 AM,-51.252082,-8.353361,-4.063671
2207,Haskin Meadows upstream,10/11/25,12:04 PM,-50.799577,-8.320035,-4.065657
2208,Atkins Reservoir,10/11/25,12:19 PM,-40.325465,-5.954212,-2.672796
2209,Roaring,10/11/25,12:28 PM,-53.08297,-8.797475,-4.323708
2210,Broad Hill,10/11/25,12:36 PM,-51.732556,-8.623332,-4.265313
2211,Shutesbury Cemetary,10/11/25,12:48 PM,-48.173458,-8.167176,-3.973693
2212,Doolittle,10/11/25,1:10 PM,-49.956672,-7.754194,-3.69354
2213,Leverett Library,10/11/25,1:22 PM,-52.791311,-8.399208,-4.052744
2214,Leverett Pond,10/11/25,1:44 PM,-24.90252,-2.520114,-0.793064
2215,Eastman Up,10/11/25,1:55 PM,-47.703224,-7.476295,-3.51955
2216,Eastman Down,10/11/25,2:06 PM,-50.810336,-8.115814,-3.943412
2218,Knightly,10/11/25,2:20 PM,-52.3424,-8.385228,-4.075179
2219,LW Boat Ramp,10/11/25,2:27 PM,-41.366062,-6.750631,-3.134985
2220,USFWS Visitors Parking,10/11/25,2:45 PM,-22.168867,-4.242685,-1.740684
2221,Prindle School,10/11/25,2:51 PM,-35.651869,-6.003818,-2.789595
2222,Horse Farm Up,10/11/25,3:07 PM,-31.846681,-5.293378,-2.371389
2223,Umass Stadium,10/11/25,3:14 PM,-47.612416,-7.362767,-3.539972
2224,Tan Brook Up ,10/11/25,3:24 PM,-51.07622,-8.126253,-3.968881
2225,Fieldstone,10/11/25,3:29 PM,-50.282555,-7.97758,-3.944998
2226,Wildwood Cemetary,10/11/25,3:39 PM,-17.141965,-1.51356,-0.368623
